ts;strategy;symbol_tv;mt5_symbol;side;order_kind;ticket;position_id;plan_entry;sl;tp;plan_rr;target_risk_pct;plan_lots;plan_risk_amount;fill_price;fill_lots;actual_rr;actual_risk_pct;actual_risk_amount;slip_price;slip_pips;slip_pct_of_sl;risk_delta_pp;adverse;equity;dry_run
2026-07-22T00:29:25;smc;GBPJPY;GBPJPY;long;market;247064917;247064917;218.398;217.898;219.398;2;1;3.27;1003.72;218.398;3.27;2;0.998;1001.59;0;0;0;-0.002;0;100372.11;0
2026-07-22T00:56:09;smc;GBPJPY;GBPJPY;long;market;247065112;247065112;218.353;217.853;219.353;2;1;3.25;1004.07;218.356;3.25;1.98;0.998;1001.62;0.003;0.3;0.6;-0.002;1;100406.55;0
2026-07-22T01:09:47;smc;GBPJPY;GBPJPY;long;market;247065119;247065119;218.387;217.887;219.387;2;1;3.27;1002.56;218.387;3.27;2;0.999;1001.81;0;0;0;-0.001;0;100255.93;0
2026-07-22T19:35:01;asweep;NAS100;USTECH100m;short;market;247096984;247096984;29124.1;29174.5;28790.3;6.62;1;25;997.58;29144.9;25;11.98;0.742;740;20.8;20.8;41.3;-0.258;0;99757.84;0
2026-07-23T12:50:01;smc;GBPJPY;GBPJPY;long;market;247115362;247115362;218.411;217.519;221.087;3;1;1.93;989.68;218.353;1.93;3.28;0.996;985.31;-0.058;-5.8;6.5;-0.004;0;98968.05;0
2026-07-31T10:35:00;asweep;GER40;GER30m;short;market;247368122;247368122;25727;25764;25656;1.92;1;25;965.81;25725.5;25;1.81;0.997;962.5;-1.5;-1.5;4.1;-0.003;1;96580.98;0
